E0197|SPORT FISHING|52
E0155|STREET BOARDING|58
E0067|STREET LUGE|22
E0135|STREETBOARDING|72
E0079|STRENGTH ATHLETICS|88
E0042|STUNT POGO|19
E0004|SUBBUTEO|42
E0025|SUMO|88
E0164|SUNTUKAN|14
E0121|SWIMMING|64
E0161|TABLE FOOTBALL|97
E0024|TABLE TENNIS|43
E0191|TADZHIK WRESTLING|3
E0173|TAE KYON|62
E0194|TAIDO|28
E0131|TAMBOURELLI|74
E0120|TANG SOO DO|39
E0069|TANTUI|89
E0174|TCHOUKBALL|95
E0117|TENDO RYU|3
E0160|THROWBALL|26
E0104|TRACK RACING|96
E0008|TRIATHLON|74
E0188|TRICK SHOT SNOOKER|99
E0001|TRICKING|41
E0166|TRUGO|49
E0181|VAJRA MUSHTI|32
E0196|VARZESH-E PEHLIVANI|11
E0040|VAULTING|73
E0071|WAKEBOARDING|37
E0072|WATER POLO|21
E0105|WINDSPORTS|79
E0178|WING WALKING|66
E0010|WINTERGUARD|16
E0055|WUDANGQUAN|48
E0153|WUSHU|22
E0027|XINGYIQUAN|4
E0006|YINGZHAOQUAN|19
E0045|YOSHIN KAN|64
E0023|ZORBING|31
E0047|ZOURKHANEH|46
